Part, Description, Value, Case, Power, Supplier 1, Supplier Part Number 1, Library Path, Library Ref, Footprint Path, Footprint Ref, Company, Comment 
RES0402_1.00, "RES 0402 1.00Ohm 1/16W", 1.00, 0402, 1/16, Digikey, 541-1LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.02, "RES 0402 1.02Ohm 1/16W", 1.02, 0402, 1/16, Digikey, 541-1.02LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.05, "RES 0402 1.05Ohm 1/16W", 1.05, 0402, 1/16, Digikey, 541-1.05LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.07, "RES 0402 1.07Ohm 1/16W", 1.07, 0402, 1/16, Digikey, 541-1.07LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.10, "RES 0402 1.10Ohm 1/16W", 1.10, 0402, 1/16, Digikey, 541-1.1LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.13, "RES 0402 1.13Ohm 1/16W", 1.13, 0402, 1/16, Digikey, 541-1.13LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.15, "RES 0402 1.15Ohm 1/16W", 1.15, 0402, 1/16, Digikey, 541-1.15LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.18, "RES 0402 1.18Ohm 1/16W", 1.18, 0402, 1/16, Digikey, 541-1.18LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.21, "RES 0402 1.21Ohm 1/16W", 1.21, 0402, 1/16, Digikey, 541-1.21LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.24, "RES 0402 1.24Ohm 1/16W", 1.24, 0402, 1/16, Digikey, 541-1.24LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.27, "RES 0402 1.27Ohm 1/16W", 1.27, 0402, 1/16, Digikey, 541-1.27LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.30, "RES 0402 1.30Ohm 1/16W", 1.30, 0402, 1/16, Digikey, 541-1.3LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.33, "RES 0402 1.33Ohm 1/16W", 1.33, 0402, 1/16, Digikey, 541-1.33LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.37, "RES 0402 1.37Ohm 1/16W", 1.37, 0402, 1/16, Digikey, 541-1.37LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.40, "RES 0402 1.40Ohm 1/16W", 1.40, 0402, 1/16, Digikey, 541-1.4LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.43, "RES 0402 1.43Ohm 1/16W", 1.43, 0402, 1/16, Digikey, 541-1.43LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.47, "RES 0402 1.47Ohm 1/16W", 1.47, 0402, 1/16, Digikey, 541-1.47LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.50, "RES 0402 1.50Ohm 1/16W", 1.50, 0402, 1/16, Digikey, 541-1.5LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.54, "RES 0402 1.54Ohm 1/16W", 1.54, 0402, 1/16, Digikey, 541-1.54LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.58, "RES 0402 1.58Ohm 1/16W", 1.58, 0402, 1/16, Digikey, 541-1.58LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.62, "RES 0402 1.62Ohm 1/16W", 1.62, 0402, 1/16, Digikey, 541-1.62LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.65, "RES 0402 1.65Ohm 1/16W", 1.65, 0402, 1/16, Digikey, 541-1.65LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.69, "RES 0402 1.69Ohm 1/16W", 1.69, 0402, 1/16, Digikey, 541-1.69LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.74, "RES 0402 1.74Ohm 1/16W", 1.74, 0402, 1/16, Digikey, 541-1.74LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.78, "RES 0402 1.78Ohm 1/16W", 1.78, 0402, 1/16, Digikey, 541-1.78LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.82, "RES 0402 1.82Ohm 1/16W", 1.82, 0402, 1/16, Digikey, 541-1.82LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.87, "RES 0402 1.87Ohm 1/16W", 1.87, 0402, 1/16, Digikey, 541-1.87LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.91, "RES 0402 1.91Ohm 1/16W", 1.91, 0402, 1/16, Digikey, 541-1.91LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_1.96, "RES 0402 1.96Ohm 1/16W", 1.96, 0402, 1/16, Digikey, 541-1.96LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.00, "RES 0402 2.00Ohm 1/16W", 2.00, 0402, 1/16, Digikey, 541-2LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.05, "RES 0402 2.05Ohm 1/16W", 2.05, 0402, 1/16, Digikey, 541-2.05LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.10, "RES 0402 2.10Ohm 1/16W", 2.10, 0402, 1/16, Digikey, 541-2.1LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.15, "RES 0402 2.15Ohm 1/16W", 2.15, 0402, 1/16, Digikey, 541-2.15LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
